code_niveau;code_filiere
N1;CHI
N3;CHI
N4;CHI
N1;ABC
N3;END
N3;ETD
N1;TER
N3;TER
N4;END
N4;ETD
N4;TER
N1;ECC
N3;ECC
N1;NHD
N3;NHD
N1;PGA
N3;PGA
N4;ECC
N4;NHD
N4;PGA
N1;BTP
N3;BTP
N1;GTO
N3;GTO
N1;ISA
N3;ISA
N4;BTP
N4;GTO
N4;ISA
N1;EFO
N3;EFO
N1;IBO
N3;IBO
N1;MEB
N3;MEB
N4;EFO
N4;IBO
N4;SMB
N1;GI
N3;GI
N1;GTIC
N3;GTIC
N4;GI
N4;GTIC
N1;COM
N3;COM
N1;FAM
N3;FAM
N1;MAU
N3;MAU
N4;COM
N4;FAM
N4;MAU
N1;ITH
N3;ITH
N4;ITH
N4;IMA
N4;COR
N1;CFI
N3;CFI
N1;ECO
N3;ECO
N1;MKT
N3;MKT
N4;CFI
N4;ECO
N4;MKT
N1;MIO
N3;MIO
N4;CAD
N4;MID
